Topic,Count,Name,Representation,Representative_Docs
0,36,0_since_inflation_down_sales,"['since', 'inflation', 'down', 'sales', 'spike', 'small', 'market', 'owner', 'default', '40']","['Small business owner in Gikomba market. Sales down 40% since inflation spike. At risk of default.', 'Small business owner in Gikomba market. Sales down 40% since inflation spike. At risk of default.', 'Small business owner in Gikomba market. Sales down 40% since inflation spike. At risk of default.']"
1,36,1_kisumu_crop_by_floods,"['kisumu', 'crop', 'by', 'floods', 'el', 'affected', 'nino', 'loss', 'restructuring', 'confirmed']","['Borrower affected by El Nino floods in Kisumu. Crop loss confirmed. Restructuring approved.', 'Borrower affected by El Nino floods in Kisumu. Crop loss confirmed. Restructuring approved.', 'Borrower affected by El Nino floods in Kisumu. Crop loss confirmed. Restructuring approved.']"
2,36,2_tsc_stable_teacher_topup,"['tsc', 'stable', 'teacher', 'topup', 'payslip', 'healthy', 'with', 'employment', 'balance', 'approved']","['Teacher with TSC payslip. Stable employment. M-Pesa balance healthy. Approved for top-up loan.', 'Teacher with TSC payslip. Stable employment. M-Pesa balance healthy. Approved for top-up loan.', 'Teacher with TSC payslip. Stable employment. M-Pesa balance healthy. Approved for top-up loan.']"
3,35,3_low_profile_consistent_county,"['low', 'profile', 'consistent', 'county', 'deposits', 'salaried', 'salary', 'government', 'employee', 'at']","['Salaried employee at county government. Consistent M-Pesa salary deposits. Low risk profile.', 'Salaried employee at county government. Consistent M-Pesa salary deposits. Low risk profile.', 'Salaried employee at county government. Consistent M-Pesa salary deposits. Low risk profile.']"
4,31,4_team_refer_inconsistent_across,"['team', 'refer', 'inconsistent', 'across', 'declarations', 'applications', 'multiple', 'fraud', 'to', 'income']","['Inconsistent income declarations across multiple loan applications. Refer to fraud team.', 'Inconsistent income declarations across multiple loan applications. Refer to fraud team.', 'Inconsistent income declarations across multiple loan applications. Refer to fraud team.']"
5,30,5_missed_payments_fuel_works,"['missed', 'payments', 'fuel', 'works', 'two', 'price', 'last', 'matatu', 'irregular', 'driver']","['Client works as matatu driver. Income irregular due to fuel price increases. Missed last two payments.', 'Client works as matatu driver. Income irregular due to fuel price increases. Missed last two payments.', 'Client works as matatu driver. Income irregular due to fuel price increases. Missed last two payments.']"
6,30,6_over_receipts_restructured_12,"['over', 'receipts', 'restructured', '12', 'hospital', 'emergency', 'medical', 'months', 'reported', 'verified']","['Medical emergency reported. Hospital receipts verified. Loan restructured over 12 months.', 'Medical emergency reported. Hospital receipts verified. Loan restructured over 12 months.', 'Medical emergency reported. Hospital receipts verified. Loan restructured over 12 months.']"
7,29,7_improving_on_increase_recommend,"['improving', 'on', 'increase', 'recommend', 'time', 'repaid', 'score', 'limit', 'credit', 'bureau']","['Client has repaid four previous loans on time. Credit bureau score improving. Recommend limit increase.', 'Client has repaid four previous loans on time. Credit bureau score improving. Recommend limit increase.', 'Client has repaid four previous loans on time. Credit bureau score improving. Recommend limit increase.']"
8,27,8_same_from_defaulted_submitted,"['same', 'from', 'defaulted', 'submitted', 'device', 'three', 'application', 'accounts', 'previous', 'as']","['Application submitted from same device as three previous defaulted accounts. Fraud risk high.', 'Application submitted from same device as three previous defaulted accounts. Fraud risk high.', 'Application submitted from same device as three previous defaulted accounts. Fraud risk high.']"
9,27,9_documents_employer_altered_appear,"['documents', 'employer', 'altered', 'appear', 'provided', 'that', 'not', 'details', 'be', 'could']","['Borrower provided employer details that could not be verified. Documents appear altered.', 'Borrower provided employer details that could not be verified. Documents appear altered.', 'Borrower provided employer details that could not be verified. Documents appear altered.']"
10,27,10_strong_runs_agent_capacity,"['strong', 'runs', 'agent', 'capacity', 'volume', 'money', 'mobile', 'business', 'repayment', 'transaction']","['Borrower runs mobile money agent business. High transaction volume. Strong repayment capacity.', 'Borrower runs mobile money agent business. High transaction volume. Strong repayment capacity.', 'Borrower runs mobile money agent business. High transaction volume. Strong repayment capacity.']"
11,26,11_work_new_source_relocated,"['work', 'new', 'source', 'relocated', 'plan', 'mombasa', 'updated', 'confirmed', 'repayment', 'for']","['Borrower relocated to Mombasa for work. New income source confirmed. Repayment plan updated.', 'Borrower relocated to Mombasa for work. New income source confirmed. Repayment plan updated.', 'Borrower relocated to Mombasa for work. New income source confirmed. Repayment plan updated.']"
12,25,12_warning_early_declining_triggered,"['warning', 'early', 'declining', 'triggered', 'volatility', '30', 'noted', 'days', 'balance', 'mpesa']","['Client M-Pesa balance declining for 30 days. Income volatility noted. Early warning triggered.', 'Client M-Pesa balance declining for 30 days. Income volatility noted. Early warning triggered.', 'Client M-Pesa balance declining for 30 days. Income volatility noted. Early warning triggered.']"
13,23,13_yields_reduced_drought_farm,"['yields', 'reduced', 'drought', 'farm', 'requested', 'affecting', 'reported', 'due', 'restructuring', 'to']","['Borrower reported reduced income due to drought affecting farm yields. Requested loan restructuring.', 'Borrower reported reduced income due to drought affecting farm yields. Requested loan restructuring.', 'Borrower reported reduced income due to drought affecting farm yields. Requested loan restructuring.']"
14,23,14_sending_pattern_unusual_before,"['sending', 'pattern', 'unusual', 'before', 'detected', 'funds', 'application', 'accounts', 'multiple', 'transaction']","['Unusual transaction pattern detected. Multiple accounts sending funds before loan application.', 'Unusual transaction pattern detected. Multiple accounts sending funds before loan application.', 'Unusual transaction pattern detected. Multiple accounts sending funds before loan application.']"
15,22,15_operates_posho_cash_flows,"['operates', 'posho', 'cash', 'flows', 'history', 'regular', 'successful', 'observed', 'mill', 'transaction']","['Borrower operates successful posho mill. Regular cash flows observed in transaction history.', 'Borrower operates successful posho mill. Regular cash flows observed in transaction history.', 'Borrower operates successful posho mill. Regular cash flows observed in transaction history.']"
